iter	Passed	Remaining
0	360	360089
1	725	362082
2	1054	350511
3	1363	339390
4	1685	335418
5	1981	328208
6	2315	328522
7	2689	333544
8	3036	334322
9	3370	333657
10	3659	329066
11	3948	325119
12	4343	329749
13	4644	327098
14	4927	323554
15	5333	327994
16	5707	330018
17	6059	330604
18	6395	330226
19	6699	328299
20	7055	328940
21	7400	328996
22	7658	325303
23	8046	327235
24	8419	328369
25	8764	328325
26	9096	327820
27	9396	326182
28	9743	326238
29	10106	326788
30	10480	327612
31	10814	327133
32	11166	327221
33	11496	326636
34	11880	327567
35	12305	329511
36	12669	329757
37	12985	328732
38	13364	329312
39	13716	329201
40	14100	329820
41	14530	331430
42	14856	330641
43	15177	329763
44	15466	328230
45	15785	327374
46	16141	327293
47	16514	327532
48	16890	327808
49	17255	327855
50	17635	328152
51	17961	327443
52	18313	327223
53	18654	326803
54	18954	325671
55	19343	326073
56	19702	325955
57	20036	325427
58	20418	325657
59	20774	325464
60	21083	324551
61	21466	324761
62	21846	324919
63	22172	324268
64	22592	324978
65	22950	324788
66	23291	324341
67	23621	323759
68	23940	323022
69	24328	323222
70	24668	322772
71	25061	323009
72	25440	323057
73	25829	323216
74	26162	322673
75	26513	322347
76	26910	322572
77	27311	322831
78	27716	323126
79	28088	323019
80	28399	322207
81	28810	322537
82	29120	321730
83	29444	321083
84	29799	320777
85	30151	320448
86	30525	320344
87	30838	319595
88	31171	319072
89	31551	319019
90	31928	318937
91	32276	318551
92	32554	317493
93	32949	317573
94	33336	317576
95	33722	317556
96	34101	317455
97	34438	316979
98	34822	316920
99	35162	316458
100	35502	316003
101	35830	315452
102	36154	314861
103	36466	314174
104	36869	314265
105	37188	313648
106	37521	313142
107	37873	312810
108	38237	312563
109	38615	312432
110	38973	312141
111	39385	312268
112	39786	312308
113	40150	312043
114	40512	311772
115	40805	310965
116	41176	310760
117	41647	311299
118	41940	310501
119	42343	310516
120	42694	310149
121	42999	309453
122	43347	309074
123	43703	308741
124	44004	308032
125	44348	307625
126	44754	307644
127	45158	307641
128	45528	307407
129	45888	307100
130	46195	306439
131	46555	306136
132	46907	305779
133	47267	305476
134	47672	305456
135	48014	305032
136	48366	304674
137	48775	304667
138	49150	304448
139	49540	304318
140	49970	304431
141	50376	304389
142	50701	303853
143	51104	303788
144	51464	303461
145	51776	302854
146	52230	303078
147	52559	302570
148	52960	302478
149	53313	302111
150	53700	301933
151	54140	302046
152	54493	301674
153	54856	301357
154	55231	301103
155	55570	300651
156	55979	300576
157	56367	300390
158	56690	299852
159	57034	299433
160	57457	299421
161	57825	299120
162	58286	299300
163	58748	299476
164	59218	299683
165	59672	299801
166	60357	301062
167	60696	300591
168	61100	300440
169	61541	300468
170	61920	300188
171	62296	299890
172	62682	299643
173	63025	299189
174	63403	298901
