iter	Logloss
0	0.5959391219
1	0.5234425813
2	0.4637999186
3	0.4197174262
4	0.3852836849
5	0.3581994519
6	0.3298630632
7	0.3108569033
8	0.2794078458
9	0.2620824877
10	0.2523092223
11	0.2427312299
12	0.2357907113
13	0.2325994514
14	0.2258532157
15	0.2230466476
16	0.2201445139
17	0.2177139703
18	0.2175348092
19	0.2149176215
20	0.2138042325
21	0.2128859481
22	0.2110240414
23	0.210998754
24	0.2104783099
25	0.2103590708
26	0.2080200195
27	0.2064675287
28	0.2059024279
29	0.2052257333
30	0.2036323653
31	0.2028729649
32	0.202273188
33	0.2013431744
34	0.2012731323
35	0.2004329416
36	0.2002984219
37	0.2000865354
38	0.1999828332
39	0.1998747703
40	0.1984702855
41	0.1981500014
42	0.1980322159
43	0.1966587216
44	0.1965719045
45	0.1960675699
46	0.1959579177
47	0.1947198033
48	0.1946908788
49	0.1936301633
50	0.1934749025
51	0.1934055652
52	0.1923754812
53	0.1923647914
54	0.191981687
55	0.1918350471
56	0.1916975156
57	0.1910054048
58	0.1908513913
59	0.1908510163
60	0.1900495338
61	0.1897354596
62	0.1887804927
63	0.1880977485
64	0.1876872183
65	0.1865529607
66	0.1853147272
67	0.18452007
68	0.1843425564
69	0.1841462114
70	0.1837165825
71	0.183572202
72	0.1832974073
73	0.1828460322
74	0.1821314868
75	0.1815732198
76	0.1806353459
77	0.1797465899
78	0.1789492439
79	0.1781976256
80	0.1769806175
81	0.1765809104
82	0.1757418717
83	0.1752620184
84	0.1747480262
85	0.1738754672
86	0.1730097154
87	0.1721757332
88	0.171093619
89	0.1708184836
90	0.1699535093
91	0.1697703745
92	0.1695226887
93	0.1694411836
94	0.169204595
95	0.1686879927
96	0.1686011983
97	0.1684363411
98	0.1679899933
99	0.1677946236
100	0.1674314171
101	0.1670893834
102	0.1669329377
103	0.1663533932
104	0.1650165099
105	0.1647982268
106	0.1646126857
107	0.1639308877
108	0.1634192737
109	0.163027338
110	0.1625663822
111	0.1624624154
112	0.162019521
113	0.1617212149
114	0.1615754152
115	0.1612588687
116	0.1610538474
117	0.1605369297
118	0.1603727011
119	0.1598290668
120	0.1594067078
121	0.1589734244
122	0.1588499059
123	0.1587134482
124	0.1582680013
125	0.1579344221
126	0.1574999425
