iter	Passed	Remaining
0	26	13248
1	89	22238
2	152	25342
3	193	23987
4	249	24746
5	287	23687
6	334	23530
7	382	23535
8	457	24962
9	533	26163
10	609	27113
11	654	26635
12	704	26394
13	773	26835
14	845	27333
15	917	27755
16	995	28283
17	1090	29189
18	1128	28578
19	1199	28782
20	1244	28386
21	1278	27776
22	1341	27826
23	1379	27355
24	1407	26741
25	1443	26313
26	1500	26279
27	1581	26666
28	1621	26333
29	1691	26505
30	1763	26686
31	1836	26863
32	1884	26671
33	1962	26903
34	2005	26639
35	2074	26740
36	2111	26425
37	2151	26162
38	2188	25865
39	2234	25692
40	2314	25909
41	2375	25906
42	2427	25799
43	2493	25846
44	2543	25714
45	2601	25673
46	2642	25465
47	2715	25569
48	2755	25366
49	2819	25372
50	2868	25258
51	2934	25286
52	3000	25308
53	3035	25067
54	3096	25050
55	3169	25125
56	3235	25149
57	3308	25214
58	3346	25016
59	3377	24767
60	3449	24824
61	3509	24792
62	3583	24855
63	3639	24794
64	3728	24954
65	3803	25009
66	3880	25080
67	3958	25147
68	4027	25158
69	4087	25111
70	4158	25128
71	4215	25058
72	4267	24963
73	4341	24994
74	4413	25012
75	4479	24991
76	4549	24991
77	4618	24988
78	4688	24987
79	4769	25040
80	4838	25027
81	4913	25044
82	4989	25069
83	5063	25076
84	5137	25080
85	5215	25106
86	5289	25110
87	5365	25119
88	5440	25121
89	5517	25135
90	5588	25115
91	5660	25103
92	5729	25075
93	5808	25089
94	5884	25085
95	5962	25094
96	6033	25066
97	6106	25047
98	6178	25026
99	6253	25013
100	6322	24975
101	6391	24939
102	6458	24894
103	6530	24867
104	6599	24827
105	6663	24769
106	6732	24726
107	6796	24667
108	6876	24665
109	6951	24644
110	7025	24619
111	7094	24576
112	7162	24529
113	7231	24485
114	7302	24449
115	7372	24404
116	7444	24369
117	7512	24321
118	7579	24267
119	7639	24191
120	7711	24154
121	7776	24093
122	7845	24047
123	7927	24037
124	8002	24008
125	8077	23974
126	8140	23907
